transcript_id,baseMean,log2FoldChange,lfcSE,pvalue,padj
nDi.2.2.2.t02834,975.8278852004759,-6.450541687669597,0.5590269908639905,3.850367348264134e-32,1.3060446045311942e-28
nDi.2.2.2.t06547,699.1856783280374,-6.578958513527854,0.5865386128237865,9.863285981709868e-31,1.6728133024979937e-27
nDi.2.2.2.t03376,591.6562824786646,-6.440860689785703,0.6360469572668462,9.110107027824781e-26,1.030049434612722e-22
nDi.2.2.2.t10358,405.0592112584151,-6.079833917148863,0.6246162098696233,2.169521213881421e-23,1.839753989371445e-20
nDi.2.2.2.t08367,262.45171299050776,-6.398125358300973,0.6679388697564754,1.1953085940985477e-22,8.108973502364548e-20
nDi.2.2.2.t05499,516.459788025133,-5.59352449225218,0.6091321901239832,3.10602069240325e-21,1.5050888840902605e-18
nDi.2.2.2.t09994,182.11726418327885,-5.971752737146549,0.6469248661221442,3.0716214837782863e-21,1.5050888840902605e-18
nDi.2.2.2.t01862,193.64705002690013,-6.997848910888025,0.7734827701167436,8.661205414028475e-21,3.672351095548073e-18
nDi.2.2.2.t07535,186.119022680667,-8.160805778759293,0.9380194510308283,3.489968386115445e-20,1.3153303073003989e-17
nDi.2.2.2.t02937,123.84273923327468,-7.012646005350773,0.8010083561297042,1.6252480685423685e-19,5.512841448495714e-17
nDi.2.2.2.t00719,653.806384383995,-5.953970072115453,0.6914639792441888,2.1093720518925169e-19,6.504536363654016e-17
nDi.2.2.2.t07250,336.14511994038895,6.1222031014691565,0.7183652663387002,1.861435434323164e-18,4.85691461017244e-16
nDi.2.2.2.t12332,199.23858756322053,-5.291794755992865,0.6325362336469076,1.76301778328858e-18,4.85691461017244e-16
nDi.2.2.2.t05858,107.33045783442812,-6.648462269461675,0.787474682786841,4.554745985575423e-18,1.1035498845051312e-15
nDi.2.2.2.t05039,160.41733814003558,-6.571757094149346,0.7762085914689121,9.387972511211068e-18,2.1229335172018628e-15
nDi.2.2.2.t00720,279.03751257635776,-4.938204487192566,0.6035688968290083,1.4146435727455224e-17,2.9990443742205075e-15
nDi.2.2.2.t00717,153.88481660693745,-5.553837883506319,0.7002400046825208,4.743586702088647e-17,9.464850643226289e-15
nDi.2.2.2.t10698,129.35361196080865,-8.214551342584478,0.9783343804974536,5.604774883927343e-17,1.0561886892378639e-14
nDi.2.2.2.t09053,362.9804386995155,-4.37546343380781,0.5479208913102455,1.0010990468727174e-16,1.7872252457853985e-14
nDi.2.2.2.t07249,250.2513574463066,5.413547324944067,0.6989147955149171,1.106250592979552e-15,1.8762010056933202e-13
nDi.2.2.2.t09961,71.09883230609553,-6.6294197529575625,0.8730441375329234,1.508765902358936e-15,2.4370161622864337e-13
nDi.2.2.2.t05045,72.98913668511557,-5.978045799619863,0.8067149962416792,4.506866053753361e-15,6.948768024696091e-13
nDi.2.2.2.t07251,408.87180544238817,4.928687250516366,0.6527334145044076,5.344686037970842e-15,7.882250017737867e-13
nDi.2.2.2.t01724,409.2258437087592,-4.294539446349025,0.5760076422504296,6.540620028837325e-15,9.24407630742342e-13
nDi.2.2.2.t02595,76.73353839755849,-6.556519410917377,0.8743610209455805,3.850471743774437e-14,5.224320061953157e-12
nDi.2.2.2.t01192,85.58280086344732,-8.887597174440357,1.2284616451005825,5.267695965905242e-14,6.872317198596377e-12
nDi.2.2.2.t10360,160.12050681639127,-5.369442969981238,0.7593980589282098,7.480766970370616e-14,9.39805983833227e-12
nDi.2.2.2.t10384,415.8105001070581,5.055779087371819,0.7349830186722331,1.2442384413327377e-13,1.507305997500231e-11
nDi.2.2.2.t10060,249.8448822319397,6.402149018951366,0.8946958787995739,1.9264266955842067e-13,2.2532549487660792e-11
nDi.2.2.2.t01743,56.89172234977252,-6.885864848998689,0.9739055298184981,3.0435059386949004e-13,3.441190714684367e-11
nDi.2.2.2.t08684,92.12506149988003,-4.605008741771663,0.690680554425797,8.320143741019788e-13,9.103847603077137e-11
nDi.2.2.2.t01839,103.66037970549186,-5.059650567014884,0.7505918205416772,8.905406973852897e-13,9.439731392284071e-11
nDi.2.2.2.t02509,168.73299688910151,-4.656357373038981,0.6980395668299656,1.6519483884038458e-12,1.698002707110862e-10
